SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	November 05, 2024	November 04, 2024	November 01, 2024	October 31, 2024	October 30, 2024
Chinese yuan	0.1055070000	0.1055390000	0.1054400000	0.1054770000	0.1055400000
Euro	0.8169960000	0.8169310000	0.8176350000	0.8171910000	0.8133920000
Japanese yen	0.0049205500		0.0049256300	0.0048922300	0.0049070000
U.K. pound	0.9742920000	0.9722780000	0.9705340000	0.9745540000	0.9755810000
U.S. dollar	0.7497440000	0.7492030000	0.7511580000	0.7509570000	0.7520960000
Algerian dinar	0.0056336900	0.0056306000		0.0056369400	0.0056425500
Australian dollar	0.4943810000	0.4951480000		0.4933040000	0.4920960000
Botswana pula	0.0562308000	0.0561902000			
Brazilian real	0.1296240000	0.1294140000	0.1293610000	0.1299840000	
Brunei dollar	0.5682460000	0.5690440000			0.5674910000
Canadian dollar		0.5392280000			
Chilean peso	0.0007838080	0.0007793730			0.0007909390
Czech koruna	0.0322415000	0.0323225000			
Danish krone	0.1095380000	0.1095410000			
Indian rupee	0.0089125300	0.0089079000			0.0089445000
Israeli New Shekel	0.2000380000	0.1998410000			
Korean won	0.0005467400	0.0005437280		0.0005428740	0.0005437760
Kuwaiti dinar	2.4481400000	2.4471800000		2.4513000000	2.4542200000
Malaysian ringgit	0.1715860000	0.1717170000			0.1711250000
Mauritian rupee	0.0162212000	0.0162393000			0.0162039000
Mexican peso	0.0369888000	0.0373915000	0.0373882000		
New Zealand dollar	0.4476350000	0.4491850000	0.4483660000	0.4480210000	0.4491140000
Norwegian krone	0.0683107000	0.0683823000			
Omani rial	1.9499200000	1.9485100000		1.9530700000	1.9560400000
Peruvian sol		0.1992560000			
Philippine peso	0.0128738000	0.0128733000			
Polish zloty	0.1872580000	0.1879160000		0.1874630000	0.1880760000
Qatari riyal	0.2059740000	0.2058250000		0.2063070000	0.2066200000
Russian ruble	0.0076460600			0.0077400200	
Saudi Arabian riyal	0.1999320000	0.1997870000		0.2002550000	0.2005590000
Singapore dollar	0.5682460000	0.5690440000			0.5674910000
South African rand	0.0429338000	0.0427298000			
Swedish krona	0.0700292000	0.0701559000			0.0703261000
Swiss franc	0.8701260000	0.8689430000	0.8658380000	0.8676570000	0.8668200000
Thai baht	0.0222582000	0.0221750000			0.0222896000
Trinidadian dollar		0.1112440000			
U.A.E. dirham	0.2041510000	0.2040040000			
Uruguayan peso		0.0180106000			

Currency units per SDR(3)

Currency	November 05, 2024	November 04, 2024	November 01, 2024	October 31, 2024	October 30, 2024
Chinese yuan	9.478040	9.475170	9.484070	9.480740	9.475080
Euro	1.224000	1.224090	1.223040	1.223700	1.229420
Japanese yen	203.229000		203.020000	204.406000	203.791000
U.K. pound	1.026390	1.028510	1.030360	1.026110	1.025030
U.S. dollar	1.333790	1.334750	1.331280	1.331630	1.329620
Algerian dinar	177.504000	177.601000		177.401000	177.225000
Australian dollar	2.022730	2.019600		2.027150	2.032120
Botswana pula	17.783800	17.796700			
Brazilian real	7.714620	7.727140	7.730310	7.693250	
Brunei dollar	1.759800	1.757330			1.762140
Canadian dollar		1.854500			
Chilean peso	1,275.820000	1,283.080000			1,264.320000
Czech koruna	31.015900	30.938200			
Danish krone	9.129250	9.129000			
Indian rupee	112.202000	112.260000			111.801000
Israeli New Shekel	4.999050	5.003980			
Korean won	1,829.020000	1,839.150000		1,842.050000	1,838.990000
Kuwaiti dinar	0.408473	0.408634		0.407947	0.407461
Malaysian ringgit	5.827980	5.823540			5.843680
Mauritian rupee	61.647700	61.579000			61.713500
Mexican peso	27.035200	26.744000	26.746400		
New Zealand dollar	2.233960	2.226250	2.230320	2.232040	2.226610
Norwegian krone	14.639000	14.623700			
Omani rial	0.512842	0.513213		0.512014	0.511237
Peruvian sol		5.018670			
Philippine peso	77.677100	77.680200			
Polish zloty	5.340230	5.321530		5.334390	5.317000
Qatari riyal	4.854980	4.858500		4.847150	4.839800
Russian ruble	130.786000			129.199000	
Saudi Arabian riyal	5.001700	5.005330		4.993630	4.986060
Singapore dollar	1.759800	1.757330			1.762140
South African rand	23.291700	23.402900			
Swedish krona	14.279800	14.254000			14.219500
Swiss franc	1.149260	1.150820	1.154950	1.152530	1.153640
Thai baht	44.927300	45.095800			44.864000
Trinidadian dollar		8.989250			
U.A.E. dirham	4.898340	4.901860			
Uruguayan peso		55.522900			


(1) Exchange rates are published daily except on IMF holidays or, whenever the IMF is closed for business, or on an ad-hoc basis to facilitate unscheduled IMF operations.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
